mol_id,smiles,logp
0,C(C=CBr)N,0.3
1,CCC(CO)Br,1.3
2,[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,2.0
3,CCCOCCP,0.6
4,C(C(F)(F)F)F,1.7
5,[2H]C([2H])C(C)(C)Cl,1.8
6,CCCC(CI)O,2.0
7,CCCCCC[CH+]C,3.9
8,C(CO)NCCO,-1.4
9,CCCCP(C)P,1.1
10,C(O)OOOCO,-1.0
11,C1CC1CCP,1.4
12,COCCC(Cl)Cl,1.8
13,[2H]C1=CSC=C1[2H],1.8
14,CCCCCl,2.6
15,C(=O)C(N)Br,-0.3
16,C(=S)(S)[S-],1.5
17,C(C(CBr)S)Br,2.1
18,CCSCCCCN,1.0
19,CC(C)C(C)O,1.3
20,CCCOC(C)N,0.6
21,CCC[I-]I,3.5
22,CC[CH]CC(C)CC,4.3
23,CN(C)CCCBr,1.4
24,C(CO)COS,0.2
25,CC(C)NCCl,1.3
26,C=CC(P)P,0.4
27,COCCl,0.8
28,C(SF)SF,1.9
29,CC(=S)P,0.3
30,C[I-]CON,0.7
31,CCC[C@@H](CN)N,-0.3
32,C(F)(F)(S)Cl,2.0
33,CC(CO)SO,-0.3
34,CC(=C)CCl,2.1
35,CCI(C)NC,1.6
36,C(=S)(S)I,1.8
37,[2H]C(C(C)(C)C)N,1.0
38,CC(C(F)F)F,1.9
39,C(CP)CP,-0.1
40,C[C@H](CNC)OC,0.1
41,C(N)(S)S,0.1
42,COOOBr,1.1
43,C(CS)CBr,1.6
44,CC=PP,-1.1
45,CCC(C)CCF,2.8
46,CCCNP(C)C,0.6
47,C(N)(N)NP,-2.0
48,C[C@H](CCN)CO,-0.2
49,C(CSCCCl)N,0.5
50,C1CSSS1,1.1
51,CCC(NC)Cl,1.4
52,C(CC=S)CO,-0.1
53,COCCNPF,0.1
54,[2H]C([2H])([2H])C(C)(C)CO,1.3
55,[2H]C(P([3H])C)I,0.7
56,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,0.9
57,C1CC1OI,1.5
58,C([C@H](F)Br)O,0.8
59,CS(N)(Cl)Cl,1.7
60,[CH]C[C@H](CO)O,-0.2
61,CNCCN(C)N,-0.9
62,C(OS)OSI,1.8
63,C(P)P=O,-1.0
64,CC(C)N(F)F,1.2
65,CCC(C)OCO,0.8
66,CC(F)(F)Br,2.1
67,C[S+](C)CCO,0.2
68,[2H]C([2H])(C)CI,2.6
69,C(O)OOC=O,-0.4
70,C(OOSF)F,1.5
71,CC(C=C)S,1.6
72,CCC(C)CC[NH3+],1.5
73,CC(C)CCOCl,2.6
74,CN(C)NN(C)C,0.3
75,CCCCOC,1.7
76,CSOSS,1.4
77,C[NH2+]/C=C\S,0.6
78,CCCCCC[CH]C,3.9
79,CCC(C)[CH+]C,3.2
80,C1CO[PH2+]C1,0.1
81,CCC(CO)S,0.8
82,C=II,2.3
83,C1C(CO1)Cl,0.5
84,[2H]C(CCO)CO,-0.8
85,CNC(=S)[S-],0.7
86,C[C@H](CS)NC,0.5
87,C(O)OCS,-0.1
88,C[C@H](N)NI,-0.3
89,C[C@H]([C@H](C)S)S,1.7
90,C(C(CF)Cl)F,1.6
91,[3H]OOCCCCCC,1.9
92,C(S)[I-]S,1.8
93,CSCCCl,1.5
94,CCOC(N)N,-1.2
95,C=IC(S)S,2.1
96,CS(=S)O,2.2
97,CCCPCCC,1.7
98,COP(C)Cl,0.8
99,C(CN[NH3+])N[NH3+],-2.1
100,CP([O-])S,-0.2
101,CC(C)C(I)I,3.3
102,C1CNPN1,-0.8
103,CCC(C)C(C)C,3.4
104,CC1CC[C]C1,3.4
105,CCCCCOC,1.9
106,C(C(F)(F)F)O,0.4
107,C=CNSCN,0.4
108,[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,2.8
109,COCCNCN,-1.2
110,C[C@@H](CCCO)O,0.0
111,CCCC(CCC)Br,3.6
112,CCCOCl,1.8
113,CC(CCNC)Cl,1.2
114,CCN(C)SS,1.6
115,CC(C)(C)SI,2.7
116,COCCSPO,-0.3
117,C(NCF)F,0.7
118,[2H]C([2H])([2H])CCCCBr,3.4
119,CC(C)([CH])C[CH],3.0
120,C(F)(F)(F)SS,2.2
121,CCO[C@H](C)CO,0.2
122,CCC=C.CC=CC,4.2
123,CCC[C@@H](C)[NH3+],1.0
124,CN(C)COO,-0.3
125,C(=O)(N)I,0.0
126,CC(C)NCCBr,1.4
127,CCCOCCl,1.7
128,C([C@H](F)Cl)Cl,1.9
129,CCSNSC,1.0
130,C[C]/C=C\[S-],1.7
131,CC(OC)Cl,1.2
132,CCNCI=N,1.5
133,CCS[S-],1.3
134,C(CPCP)PCP,-0.8
135,[2H]N([2H])CCCCN,-0.9
136,CCC[C@H](C)S,2.2
137,[3H]C1CCCNC1,0.8
138,C[C@H](COP)O,-0.3
139,C(CCO)CCBr,1.4
140,C([C+]=O)Br,0.5
141,CCCN(C)P,1.0
142,C(C(S)(S)S)O,0.5
143,CCCSCSC,2.5
144,CCCC(C)CO,1.8
145,C[C@H](CO)NP,-0.6
146,CSCSC=S,2.0
147,CCCC[C+](C)C,3.7
148,CONCI,0.6
149,COSS,1.0
150,C[C@@H](CN)NC,-0.7
151,C(CCF)CON,0.4
152,CC(C)OOCO,0.3
153,C(COP)CBr,1.1
154,C(CS)OCO,-0.2
155,C(O)[I-]S,0.8
156,CC(COC)NC,0.1
157,C[11CH-]I,2.1
158,C1C[SH+]CCO1,0.5
159,CC(CCF)NC,0.9
160,CC(C(F)F)Cl,2.1
161,[2H][12C]([2H])([2H])I,1.5
162,C(COCCN)N,-1.8
163,C(N)[I-]F,0.6
164,C(COCCO)O,-1.3
165,CC[C@@H](CCCl)Cl,2.7
166,C(C(F)(F)F)N,0.2
167,CCNNNNI,-0.2
168,CCSOOOS,1.5
169,CC[C@@H](C)CCS,2.7
170,C(N)(O)(F)F,-0.5
171,[CH2]C(F)(F)F,1.7
172,C[CH]CCC(C)C,3.7
173,C1CCPPCC1,0.7
